time,operators,typeOfAreaSse,instrumentClass,siteFacilityCode,typeOfVegetationSse,vegetationConditionSse,moistureOnVegetationSse,surfaceSoilConditionsSse,vegetationInsideFenceEbbr,vegetationOutsideFenceEbbr,vegetationHeightInsideFenceSse,vegetationHeightOutsideFenceSse,unanticipatedVegetationConditionEc,reportId,reportKey,reportSiteCode,reportFacilityCode,reportInstrumentClass,reportedOn,reporterId,reportStateCode,reportDataType,reportFrequencyCode,rowCropsEc,winterWheatEc,mostlyBareSoilEc,vegetationHeightEc,pastureOrRangelandEc,vegetationConditionEc,winterWheatConditionEc,surfaceSoilConditionsEc,pastureOrRangelandGrassEc,moistureOnVegetationSoilEc,rowCropsTypeEc,rowCropsConditionEc,pastureOrRangelandTypeEc,comments,notifySiteOps,notifyInstrumentMentor
2021-04-21 15:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.1,,16644,PM-2021-SGP-E35-00066,sgp,E35,sfccond,2021-04-21T18:39:48.907+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2021-04-21 16:15:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,,16651,PM-2021-SGP-E40-00066,sgp,E40,sfccond,2021-04-21T18:52:56.783+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2021-04-22 14:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E39,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.2,0.1,No,16766,PM-2021-SGP-E39-00117,sgp,E39,sfccond,2021-04-22T20:36:05.071+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,0.2,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-04-22 15:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.2,0.2,No,16775,PM-2021-SGP-E37-00100,sgp,E37,sfccond,2021-04-22T21:21:47.671+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.3,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-04-26 14:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E11,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.1,0.1,,16921,PM-2021-SGP-E11-00072,sgp,E11,sfccond,2021-04-26T19:25:32.431+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-04-26 16:30:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.5,0.4,No,16924,PM-2021-SGP-E31-00082,sgp,E31,sfccond,2021-04-26T19:31:43.206+00:00,21075,NEW,PMR,BIWEEKLY,Yes,No,No,0.2,No,"Green with brown patches because of hot, dry weather",,Dry and dusty,,Dry,Other Row Crop (see comments),Stubble mostly covered with green weeds after harvest,,,False,False
2021-04-27 15:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E12,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.1,0.1,,17027,PM-2021-SGP-E12-00064,sgp,E12,sfccond,2021-04-27T19:00:12.829+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-04-27 17:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E34,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.2,0.2,,17035,PM-2021-SGP-E34-00074,sgp,E34,sfccond,2021-04-27T19:13:31.982+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-04-28 14:16:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E32,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.1,0.1,,17116,PM-2021-SGP-E32-00104,sgp,E32,sfccond,2021-04-28T18:41:37.092+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-04-28 15:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E9,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.2,0.1,,17104,PM-2021-SGP-E9-00073,sgp,E9,sfccond,2021-04-28T18:35:24.726+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-04-29 15:00:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E41,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Moist but not muddy,,,0.2,0.2,No,17199,PM-2021-SGP-E41-00101,sgp,E41,sfccond,2021-04-29T20:44:25.136+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.3,No,"Lush green, unwilted","Green, ground covered",Moist but not muddy,,Dry,,,,,False,False
2021-04-29 17:45:00,Chris Martin,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,Fully green but noticeably wilted,Dry,Moist but not muddy,,,0.1,0.1,No,17187,PM-2021-SGP-E33-00083,sgp,E33,sfccond,2021-04-29T20:16:39.470+00:00,21075,NEW,PMR,BIWEEKLY,Yes,No,No,0.1,No,"Green with brown patches because of hot, dry weather",,Moist but not muddy,,Dry,Corn,Stubble after harvest,,,False,False
2021-05-03 14:30:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,,,0.2,0.4,No,17362,PM-2021-SGP-E37-00114,sgp,E37,sfccond,2021-05-03T19:23:37.069+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,0.7,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-05-03 15:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.2,0.1,,17351,PM-2021-SGP-E15-00075,sgp,E15,sfccond,2021-05-03T18:54:14.062+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-04 14:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E39,Mostly clumped grass,"Lush green, unwilted",Mostly wet because of rain or dew,Muddy or standing water,Grassy,Grassy,0.2,0.1,No,17463,PM-2021-SGP-E39-00131,sgp,E39,sfccond,2021-05-04T18:45:58.475+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.7,No,"Lush green, unwilted","Green, ground covered",Muddy or standing water,,Mostly wet because of rain or dew,,,,,False,False
2021-05-04 15:20:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Mostly wet because of rain or dew,Muddy or standing water,,,0.5,0.2,,17439,PM-2021-SGP-E40-00074,sgp,E40,sfccond,2021-05-04T18:20:51.247+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-05 14:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Muddy or standing water,Grassy,Grassy,0.3,0.1,,17562,PM-2021-SGP-E35-00074,sgp,E35,sfccond,2021-05-05T20:06:53.210+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-05 16:15:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E38,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.4,0.4,No,17550,PM-2021-SGP-E38-00082,sgp,E38,sfccond,2021-05-05T19:52:43.885+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.4,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-05-05 17:45:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E36,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.6,0.1,,17563,PM-2021-SGP-E36-00074,sgp,E36,sfccond,2021-05-05T20:08:03.941+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-06 12:50:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E13,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.1,0.2,,17590,PM-2021-SGP-E13-00466,sgp,E13,sfccond,2021-05-06T13:50:28.717+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-06 12:50:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E14,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,,,0.1,0.2,No,17596,PM-2021-SGP-E14-00036,sgp,E14,sfccond,2021-05-06T14:01:35.716+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,0.4,No,"Lush green, unwilted","Green, ground covered",Moist but not muddy,,Dry,,,,,False,False
2021-05-10 16:20:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E12,Mostly clumped grass,"Lush green, unwilted",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.1,0.1,,17824,PM-2021-SGP-E12-00071,sgp,E12,sfccond,2021-05-11T13:38:09.351+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-10 18:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E34,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Mostly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.3,0.1,,17832,PM-2021-SGP-E34-00082,sgp,E34,sfccond,2021-05-11T14:04:24.407+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-11 15:50:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.9,0.4,No,17962,PM-2021-SGP-E31-00091,sgp,E31,sfccond,2021-05-12T19:03:38.053+00:00,21075,NEW,PMR,BIWEEKLY,Yes,No,No,0.1,No,"Green with brown patches because of hot, dry weather",,Dry and dusty,,Dry,Other Row Crop (see comments),Stubble mostly covered with green weeds after harvest,,Stubble after a milo harvest.,False,False
2021-05-11 17:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E11,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.2,0.1,,17874,PM-2021-SGP-E11-00082,sgp,E11,sfccond,2021-05-12T13:59:14.932+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-12 14:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E32,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.1,0.1,,18177,PM-2021-SGP-E32-00117,sgp,E32,sfccond,2021-05-17T13:15:17.762+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-12 16:20:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E9,Mostly uniform grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.1,,17970,PM-2021-SGP-E9-00082,sgp,E9,sfccond,2021-05-12T19:19:17.945+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-13 15:20:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E41,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.2,0.1,No,18048,PM-2021-SGP-E41-00111,sgp,E41,sfccond,2021-05-13T19:03:51.400+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,0.7,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-05-13 16:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.2,0.1,No,18057,PM-2021-SGP-E33-00092,sgp,E33,sfccond,2021-05-13T19:34:52.060+00:00,18599,NEW,PMR,BIWEEKLY,Yes,No,No,0.1,No,"Lush green, unwilted",,Dry and dusty,,Dry,Corn,Partial soil coverage because plants are small,,,False,False
2021-05-17 15:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Mostly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.9,0.2,,18295,PM-2021-SGP-E40-00082,sgp,E40,sfccond,2021-05-18T19:33:04.180+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-17 17:35:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Muddy or standing water,Grassy,Grassy,0.9,0.1,,18230,PM-2021-SGP-E35-00082,sgp,E35,sfccond,2021-05-17T20:07:36.857+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-18 15:05:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.4,0.1,No,18312,PM-2021-SGP-E37-00126,sgp,E37,sfccond,2021-05-18T19:49:31.636+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,1.2,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-05-18 16:30:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E38,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Muddy or standing water,,,0.5,0.5,No,18313,PM-2021-SGP-E38-00091,sgp,E38,sfccond,2021-05-18T19:49:50.889+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,0.5,No,"Lush green, unwilted","Green, ground covered",Moist but not muddy,,Dry,,,,,False,False
2021-05-19 15:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Mostly wet because of rain or dew,Muddy or standing water,Grassy,Grassy,0.4,0.1,,18370,PM-2021-SGP-E15-00082,sgp,E15,sfccond,2021-05-19T18:39:57.847+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-19 16:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E36,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Mostly wet because of rain or dew,Muddy or standing water,Grassy,Grassy,0.6,0.1,,18373,PM-2021-SGP-E36-00082,sgp,E36,sfccond,2021-05-19T18:43:14.282+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-20 13:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E14,Mostly clumped grass,"Lush green, unwilted",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.3,0.2,No,18494,PM-2021-SGP-E14-00040,sgp,E14,sfccond,2021-05-20T19:22:32.315+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,Yes,0.4,No,"Lush green, unwilted","Green, ground covered",Moist but not muddy,,Mostly wet because of rain or dew,,,,,False,False
2021-05-20 13:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E13,Mostly clumped grass,"Lush green, unwilted",Mostly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.3,0.2,,18488,PM-2021-SGP-E13-00525,sgp,E13,sfccond,2021-05-20T19:13:52.519+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-20 15:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E39,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,No,18480,PM-2021-SGP-E39-00145,sgp,E39,sfccond,2021-05-20T18:40:12.600+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,0.7,No,"Lush green, unwilted","Green, ground covered",Moist but not muddy,,Dry,,,,,False,False
2021-05-24 15:20:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Mostly wet because of rain or dew,Dry and dusty,,,0.9,0.7,No,18717,PM-2021-SGP-E31-00100,sgp,E31,sfccond,2021-05-24T19:14:39.261+00:00,21075,NEW,PMR,BIWEEKLY,Yes,No,No,0.1,No,"Green with brown patches because of hot, dry weather",,Dry and dusty,,Slightly wet because of rain or dew,Other Row Crop (see comments),Stubble mostly covered with green weeds after harvest,,Stubble after milo harvest.,False,False
2021-05-24 16:40:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E11,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.4,0.1,,18708,PM-2021-SGP-E11-00090,sgp,E11,sfccond,2021-05-24T18:55:34.000+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-25 14:30:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E32,Mostly clumped grass,"Lush green, unwilted",Dry,Muddy or standing water,,,0.2,0.2,,18789,PM-2021-SGP-E32-00126,sgp,E32,sfccond,2021-05-25T18:03:23.090+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-25 15:45:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E9,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.6,0.2,,18797,PM-2021-SGP-E9-00090,sgp,E9,sfccond,2021-05-25T18:50:12.148+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-26 15:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E12,Mostly clumped grass,"Lush green, unwilted",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.4,0.4,,18899,PM-2021-SGP-E12-00078,sgp,E12,sfccond,2021-05-26T19:46:38.243+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-26 17:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E34,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.4,0.2,,18892,PM-2021-SGP-E34-00090,sgp,E34,sfccond,2021-05-26T19:39:34.087+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-05-27 14:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E41,Mostly clumped grass,"Lush green, unwilted",Slightly wet because of rain or dew,Dry and dusty,,,0.4,0.2,No,18983,PM-2021-SGP-E41-00123,sgp,E41,sfccond,2021-05-27T18:26:00.191+00:00,18599,NEW,PMR,BIWEEKLY,,Yes,No,0.6,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Slightly wet because of rain or dew,,,,,False,False
2021-05-27 15:20:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,"Lush green, unwilted",Slightly wet because of rain or dew,Moist but not muddy,,,0.3,0.2,No,18971,PM-2021-SGP-E33-00101,sgp,E33,sfccond,2021-05-27T17:59:27.301+00:00,21075,NEW,PMR,BIWEEKLY,Yes,No,No,0.1,No,"Lush green, unwilted",,Moist but not muddy,,Slightly wet because of rain or dew,Corn,Partial soil coverage because plants are small,,,False,False
2021-06-01 15:10:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Moist but not muddy,Grassy,Grassy,0.3,0.1,,19310,PM-2021-SGP-E15-00091,sgp,E15,sfccond,2021-06-02T19:53:05.590+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-01 17:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E38,Mostly clumped grass,"Lush green, unwilted",Dry,Muddy or standing water,,,0.5,0.4,No,19330,PM-2021-SGP-E38-00101,sgp,E38,sfccond,2021-06-02T20:19:46.315+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.4,No,"Lush green, unwilted","Green, ground covered",Muddy or standing water,,Dry,,,,,False,False
2021-06-01 19:30:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E36,Mostly clumped grass,"Lush green, unwilted",Dry,Moist but not muddy,Grassy,Grassy,0.7,0.2,,19308,PM-2021-SGP-E36-00091,sgp,E36,sfccond,2021-06-02T19:50:00.093+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-02 14:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E39,Mostly clumped grass,"Lush green, unwilted",Slightly wet because of rain or dew,Muddy or standing water,Grassy,Grassy,0.2,0.2,No,19351,PM-2021-SGP-E39-00161,sgp,E39,sfccond,2021-06-02T20:48:06.466+00:00,18599,NEW,PMR,BIWEEKLY,,Yes,No,0.4,No,"Lush green, unwilted","Green, ground covered",Muddy or standing water,,Slightly wet because of rain or dew,,,,,False,False
2021-06-02 15:55:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Moist but not muddy,Grassy,Grassy,0.7,0.3,,19331,PM-2021-SGP-E40-00091,sgp,E40,sfccond,2021-06-02T20:19:48.526+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-02 17:25:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Muddy or standing water,Grassy,Grassy,0.5,0.1,,19361,PM-2021-SGP-E35-00091,sgp,E35,sfccond,2021-06-02T21:18:45.291+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-03 13:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E13,Mostly clumped grass,"Lush green, unwilted",Slightly wet because of rain or dew,,Grassy,Grassy,0.1,0.1,,19438,PM-2021-SGP-E13-00574,sgp,E13,sfccond,2021-06-03T20:30:47.167+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-03 13:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E14,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,,,0.1,0.1,Yes,19445,PM-2021-SGP-E14-00044,sgp,E14,sfccond,2021-06-03T20:46:23.121+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,0.7,Yes,"Lush green, unwilted","Green, ground covered",Moist but not muddy,,Dry,,,,,False,False
2021-06-03 15:10:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.9,0.1,No,19458,PM-2021-SGP-E37-00139,sgp,E37,sfccond,2021-06-03T21:12:59.316+00:00,21075,NEW,PMR,BIWEEKLY,No,Yes,No,1.2,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-06-07 15:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.5,0.4,No,19676,PM-2021-SGP-E31-00110,sgp,E31,sfccond,2021-06-07T19:47:17.750+00:00,21075,NEW,PMR,BIWEEKLY,Yes,No,No,0.1,No,"Green with brown patches because of hot, dry weather",,Dry and dusty,,Dry,Other Row Crop (see comments),Stubble mostly covered with green weeds after harvest,,,False,False
2021-06-07 16:40:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E11,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.1,0.5,,19665,PM-2021-SGP-E11-00099,sgp,E11,sfccond,2021-06-07T19:23:15.599+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-08 16:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E12,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Muddy or standing water,Grassy,Grassy,0.4,0.4,,19795,PM-2021-SGP-E12-00087,sgp,E12,sfccond,2021-06-09T14:21:32.941+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-08 18:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E41,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,,,0.5,0.2,No,19785,PM-2021-SGP-E41-00136,sgp,E41,sfccond,2021-06-09T14:01:04.670+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.9,No,"Lush green, unwilted","Green, ground covered",Dry and dusty,,Dry,,,,,False,False
2021-06-09 15:10:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E32,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.3,0.3,,19865,PM-2021-SGP-E32-00139,sgp,E32,sfccond,2021-06-09T19:52:10.805+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-09 17:00:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.5,0.4,No,19903,PM-2021-SGP-E33-00111,sgp,E33,sfccond,2021-06-10T13:35:16.308+00:00,18599,NEW,PMR,BIWEEKLY,Yes,No,No,1.0,No,"Lush green, unwilted",,Dry and dusty,,Dry,Corn,"Green, ground covered",,,False,False
2021-06-10 14:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E9,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.1,,19960,PM-2021-SGP-E9-00099,sgp,E9,sfccond,2021-06-10T18:43:09.384+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-10 16:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E34,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.4,0.3,,19966,PM-2021-SGP-E34-00099,sgp,E34,sfccond,2021-06-10T18:49:07.225+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-14 15:15:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.4,0.2,,20240,PM-2021-SGP-E15-00100,sgp,E15,sfccond,2021-06-15T18:53:24.857+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
2021-06-14 17:00:00,Rod Marler,Derived from grazed grasslands,sfccond,sgp:E36,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.7,0.2,,20144,PM-2021-SGP-E36-00100,sgp,E36,sfccond,2021-06-14T20:23:10.917+00:00,21075,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,False,False
